order_id,supplier_name,part_number,part_description,order_date,promised_date,actual_delivery_date,quantity,unit_price,po_amount
PO-DEMO-001,APEX MFG,DAMPER-3305,Pneumatic Damper 36 inch,2022-03-14,2022-04-04,2022-03-30,135,233.48,31519.8
PO-DEMO-002,APEX MFG,CTRL-9985,PLC Control Module,2021-10-28,2021-12-24,2022-01-05,226,354.77,80178.02
PO-DEMO-003,APEX MFG,HX-5520,Aluminum Heat Exchanger,2021-10-25,2021-11-21,2021-11-23,297,879.54,261223.38
PO-DEMO-004,APEX MFG,PANEL-8820,Stainless Control Panel,2022-03-17,2022-05-14,2022-05-26,122,264.92,32320.24
PO-DEMO-005,apex manufacturing inc,PANEL-8820,Stainless Control Panel,2021-12-12,2021-12-26,2021-12-26,184,247.79,45593.36
PO-DEMO-006,apex manufacturing inc,CTRL-9985,PLC Control Module,2021-11-26,2021-12-31,2021-12-29,204,364.51,74360.04
PO-DEMO-007,apex manufacturing inc,HX-5520,Aluminum Heat Exchanger,2021-12-29,2022-02-19,2022-02-22,245,1014.49,248550.05
PO-DEMO-008,apex manufacturing inc,DAMPER-3305,Pneumatic Damper 36 inch,2022-01-06,2022-01-25,2022-02-06,195,286.6,55887.0
PO-DEMO-009,QUICKFAB IND,DAMPER-3305,Pneumatic Damper 36 inch,2021-10-19,2021-11-04,2021-11-06,50,328.3,16415.0
PO-DEMO-010,QUICKFAB IND,SENSOR-4401,Temperature Sensor Probe,2021-10-27,2021-12-04,2021-12-07,196,46.51,9115.96
PO-DEMO-011,QUICKFAB IND,CTRL-9985,PLC Control Module,2021-12-31,2022-01-27,2022-01-30,97,430.12,41721.64
PO-DEMO-012,QUICKFAB IND,PANEL-8820,Stainless Control Panel,2021-12-03,2021-12-27,2022-01-05,148,318.95,47204.6
PO-DEMO-013,stellar metalworks,BRKT-1005,Heavy Duty Mount,2022-03-14,2022-05-11,2022-05-23,176,27.64,4864.64
PO-DEMO-014,stellar metalworks,BEARING-9905,Heavy Duty Bearing Set,2021-10-16,2021-11-13,2021-11-09,215,70.71,15202.65
PO-DEMO-015,stellar metalworks,BRKT-1005,Heavy Duty Mount,2021-11-25,2022-01-14,2022-01-19,265,20.93,5546.45
PO-DEMO-016,stellar metalworks,DAMPER-3305,Pneumatic Damper 36 inch,2022-03-15,2022-04-27,2022-04-26,81,236.99,19196.19
PO-DEMO-017,TitanForge,PANEL-8820,Stainless Control Panel,2022-02-22,2022-04-11,2022-04-14,214,256.2,54826.8
PO-DEMO-018,TitanForge,CTRL-9985,PLC Control Module,2021-11-06,2021-12-22,2022-01-01,34,479.17,16291.78
PO-DEMO-019,TitanForge,PANEL-8820,Stainless Control Panel,2021-11-10,2022-01-03,2022-01-03,42,258.48,10856.16
PO-DEMO-020,TitanForge,DAMPER-3305,Pneumatic Damper 36 inch,2022-03-03,2022-04-15,2022-04-26,293,329.12,96432.16
PO-DEMO-021,AEROFLOW SYS,DAMPER-3305,Pneumatic Damper 36 inch,2021-10-04,2021-11-30,2021-11-28,184,216.73,39878.32
PO-DEMO-022,AEROFLOW SYS,HX-5520,Aluminum Heat Exchanger,2022-01-21,2022-02-14,2022-02-23,144,1188.76,171181.44
