rfq_id,supplier_name,part_description,quote_date,quoted_price,lead_time_weeks,notes
RFQ-DEMO-001,apex manufacturing inc,Temperature Sensor Probe,2021-11-02,78.96,5,Demo scenario SC-002 (tier 1)
RFQ-DEMO-002,QUICKFAB IND,Heavy Duty Mount,2021-12-11,21.75,6,Demo scenario SC-003 (tier 1)
RFQ-DEMO-003,stellar metalworks,Heavy Duty Bearing Set,2021-11-10,75.69,10,Demo scenario SC-004 (tier 1)
RFQ-DEMO-004,TitanForge,Temperature Sensor Probe,2021-10-14,84.96,9,Demo scenario SC-005 (tier 1)
RFQ-DEMO-005,AEROFLOW SYS,Heavy Duty Bearing Set,2021-10-28,82.24,8,Demo scenario SC-006 (tier 1)
RFQ-DEMO-006,Quik-Fab Industries,36 inch Axial Fan,2021-10-04,220.68,11,Demo scenario SC-010 (tier 2)
RFQ-DEMO-007,AeroFlow Technologies,Stainless Control Panel,2024-02-22,245.0,7,Demo scenario SC-011 (tier 2)
RFQ-DEMO-008,Stellr Metalworks,Heavy Duty Mount,2021-12-04,26.56,12,Demo scenario SC-013 (tier 2)
RFQ-DEMO-009,Titan Forge LLC,Temperature Sensor Probe,2021-12-23,81.42,9,Demo scenario SC-014 (tier 2)
RFQ-DEMO-010,StellarForge Industries,36 inch Axial Fan,2023-06-19,292.37,9,Demo scenario SC-021 (tier 3)
RFQ-DEMO-011,SF Industries,Aluminum Heat Exchanger,2023-08-08,821.65,3,Demo scenario SC-023 (tier 3)
RFQ-DEMO-012,Zenith Thermal Solutions,Aluminum Heat Exchanger,2025-01-02,1063.93,12,Demo scenario SC-030 (tier 4)
RFQ-DEMO-013,Zenith Thermal,Aluminum Heat Exchanger,2025-01-29,1123.67,7,Demo scenario SC-032 (tier 4)
RFQ-DEMO-014,PRECISION THERMAL,Temperature Sensor Probe,2021-12-25,67.32,2,Demo scenario EX-102 (tier 1)
RFQ-DEMO-015,TITANFORGE L.L.C.,Stainless Control Panel,2021-10-03,222.74,6,Demo scenario EX-103 (tier 1)
RFQ-DEMO-016,Stellar Metal Works,Pneumatic Damper 36 inch,2021-10-04,310.49,12,Demo scenario EX-104 (tier 1)
RFQ-DEMO-017,AEROFLOW SYSTEMS,36 inch Axial Fan,2021-10-15,323.22,10,Demo scenario EX-105 (tier 1)
RFQ-DEMO-018,Apex  Manufacturing,Heavy Duty Bearing Set,2021-11-05,107.7,3,Demo scenario EX-108 (tier 1)
RFQ-DEMO-019, QuickFab Industries ,Stainless Control Panel,2021-11-29,312.66,5,Demo scenario EX-109 (tier 1)
RFQ-DEMO-020,"TitanForge, LLC",PLC Control Module,2021-12-24,597.92,12,Demo scenario EX-111 (tier 1)
RFQ-DEMO-021,Apex Manufactur1ng,PLC Control Module,2021-11-22,444.82,10,Demo scenario EX-201 (tier 2)
RFQ-DEMO-022,Ste11ar Metalworks,Aluminum Heat Exchanger,2021-12-30,909.69,9,Demo scenario EX-202 (tier 2)
RFQ-DEMO-023,Precisi0n Thermal Co,Heavy Duty Bearing Set,2021-12-13,118.64,3,Demo scenario EX-203 (tier 2)
RFQ-DEMO-024,Apexx Manufacturing,Aluminum Heat Exchanger,2021-10-31,935.31,11,Demo scenario EX-204 (tier 2)
RFQ-DEMO-025,AeroFow Systems,Aluminum Heat Exchanger,2021-10-11,1238.03,6,Demo scenario EX-205 (tier 2)
RFQ-DEMO-026,QuickFab Industires,Aluminum Heat Exchanger,2021-10-24,1394.41,7,Demo scenario EX-206 (tier 2)
RFQ-DEMO-027,Manufacturing Apex Inc,Stainless Control Panel,2021-10-11,269.08,11,Demo scenario EX-210 (tier 2)
RFQ-DEMO-028,Apex Manufacturing Group International,Stainless Control Panel,2021-12-27,367.03,7,Demo scenario EX-212 (tier 2)
RFQ-DEMO-029,The QuickFab Industries Company,36 inch Axial Fan,2021-12-29,292.97,10,Demo scenario EX-213 (tier 2)
RFQ-DEMO-030,Ａｅｒｏflow Systems,Heavy Duty Bearing Set,2021-10-08,65.86,5,Demo scenario EX-214 (tier 2)
RFQ-DEMO-031,Précision Thermal Co,Heavy Duty Bearing Set,2021-12-18,106.14,11,Demo scenario EX-215 (tier 2)
RFQ-DEMO-032,Bright Star Foundry,Heavy Duty Bearing Set,2021-10-05,98.05,9,Demo scenario EX-301 (tier 3)
RFQ-DEMO-033,BSF,Heavy Duty Bearing Set,2021-12-11,116.47,8,Demo scenario EX-302 (tier 3)
RFQ-DEMO-034,Knight Fastener Fab Svc,Stainless Control Panel,2021-10-12,346.64,6,Demo scenario EX-304 (tier 3)
RFQ-DEMO-035,Apex-Quickfab Ind.,PLC Control Module,2021-10-12,416.99,8,Demo scenario EX-305 (tier 3)
RFQ-DEMO-036,Stellar Forge Industries,36 inch Axial Fan,2021-11-20,229.4,3,Demo scenario EX-306 (tier 3)
RFQ-DEMO-037,StellarForge Industries,Temperature Sensor Probe,2023-07-18,82.64,3,Demo scenario EX-308 (tier 3)
RFQ-DEMO-038,Apex Farms LLC,Stainless Control Panel,2021-10-15,224.31,7,Demo scenario EX-401 (tier 4)
RFQ-DEMO-039,Apex Fabrication Services,Heavy Duty Bearing Set,2021-11-20,60.74,8,Demo scenario EX-402 (tier 4)
RFQ-DEMO-040,Stellar Dynamics Inc,PLC Control Module,2021-12-12,576.3,5,Demo scenario EX-403 (tier 4)
RFQ-DEMO-041,AeroTech Systems,36 inch Axial Fan,2021-12-28,239.39,4,Demo scenario EX-404 (tier 4)
RFQ-DEMO-042,Summit Manufacturing LLC,Heavy Duty Bearing Set,2021-11-03,116.65,12,Demo scenario EX-411 (tier 4)
RFQ-DEMO-043,Apex Industries,Heavy Duty Mount,2021-11-29,17.25,6,Demo scenario EX-412 (tier 4)
