inspection_id,order_id,inspection_date,parts_inspected,parts_rejected,rejection_reason,rework_required
INS-DEMO-001,PO-DEMO-002,2022-01-05,49,4,Weld porosity,Yes
INS-DEMO-002,PO-DEMO-003,2021-11-23,160,6,Sensor drift,No
INS-DEMO-003,PO-DEMO-004,2022-05-26,46,3,Sensor drift,No
INS-DEMO-004,PO-DEMO-005,2021-12-26,48,4,Weld porosity,No
INS-DEMO-005,PO-DEMO-006,2021-12-29,90,1,Dimensional error,No
INS-DEMO-006,PO-DEMO-012,2022-01-05,23,1,Dimensional error,No
INS-DEMO-007,PO-DEMO-016,2022-04-26,18,2,Dimensional error,Yes
INS-DEMO-008,PO-DEMO-017,2022-04-14,137,9,Dimensional error,No
INS-DEMO-009,PO-DEMO-021,2021-11-28,148,13,Sensor drift,No
INS-DEMO-010,PO-DEMO-022,2022-02-23,134,8,Sensor drift,No
INS-DEMO-011,PO-DEMO-023,2021-12-30,248,16,Dimensional error,No
INS-DEMO-012,PO-DEMO-025,2021-12-10,36,3,Weld porosity,Yes
INS-DEMO-013,PO-DEMO-026,2022-03-12,20,0,Passed,No
INS-DEMO-014,PO-DEMO-028,2022-04-15,75,1,Sensor drift,No
INS-DEMO-015,PO-DEMO-029,2022-04-26,21,1,Weld porosity,No
INS-DEMO-016,PO-DEMO-033,2024-03-22,154,21,Surface scratches,No
INS-DEMO-017,PO-DEMO-034,2024-05-01,102,7,Weld porosity,Yes
INS-DEMO-018,PO-DEMO-036,2024-06-08,31,2,Dimensional error,Yes
INS-DEMO-019,PO-DEMO-040,2024-06-13,56,6,Sensor drift,No
INS-DEMO-020,PO-DEMO-041,2022-03-08,73,0,Passed,No
INS-DEMO-021,PO-DEMO-043,2022-04-28,8,0,Passed,No
INS-DEMO-022,PO-DEMO-045,2022-04-24,16,0,Passed,No
INS-DEMO-023,PO-DEMO-049,2024-11-05,53,2,Sensor drift,Yes
INS-DEMO-024,PO-DEMO-052,2024-11-02,94,3,Surface scratches,No
INS-DEMO-025,PO-DEMO-053,2023-12-21,20,2,Dimensional error,No
INS-DEMO-026,PO-DEMO-054,2023-12-07,35,0,Passed,No
INS-DEMO-027,PO-DEMO-055,2023-11-16,77,10,Sensor drift,No
INS-DEMO-028,PO-DEMO-056,2023-10-04,90,8,Surface scratches,No
INS-DEMO-029,PO-DEMO-059,2025-02-09,64,2,Sensor drift,Yes
INS-DEMO-030,PO-DEMO-060,2025-02-12,24,2,Dimensional error,Yes
INS-DEMO-031,PO-DEMO-061,2023-08-18,158,19,Surface scratches,Yes
INS-DEMO-032,PO-DEMO-064,2023-08-21,92,0,Passed,No
INS-DEMO-033,PO-DEMO-069,2024-11-15,240,25,Sensor drift,Yes
INS-DEMO-034,PO-DEMO-070,2024-08-16,74,6,Sensor drift,Yes
INS-DEMO-035,PO-DEMO-071,2025-01-31,156,6,Dimensional error,No
INS-DEMO-036,PO-DEMO-073,2025-05-18,67,7,Sensor drift,Yes
